user,login_count,after_hours_login,weekend_login,distinct_computers,files_accessed,file_copy_count,usb_connections,label,model_prediction,risk_score,risk_level,unusual_access
BQS0525,56,0,16,8,57,57,393,0,0,1,Low,False
BRB0355,949,0,214,3,712,712,898,0,0,2,Medium,False
IAR0694,856,0,115,3,0,0,0,0,0,0,Low,False
SMH0291,957,0,251,3,0,0,0,0,0,0,Low,False
BDI0533,862,0,187,2,2458,2458,922,0,0,2,Medium,False
DAR0885,58,5,17,5,0,0,0,0,0,1,Low,False
ALB0892,235,0,58,1,0,0,0,0,0,0,Low,False
BSS0369,962,361,180,504,2295,2295,2740,1,1,5,High,False
DLM0051,856,0,182,3,10673,10673,3775,0,0,2,Medium,False
CMB0912,860,0,140,46,0,0,0,0,0,0,Low,False
SBN0971,449,0,94,1,577,577,176,0,0,2,Medium,False
LBH0942,819,0,199,1,10889,10889,3903,0,0,2,Medium,False
MLM0950,840,8,153,3,2752,2752,850,0,0,3,Medium,False
LBF0214,1015,48,232,2,1236,1236,471,0,0,3,Medium,False
NAF0326,977,0,218,48,2446,2446,900,0,0,2,Medium,False
QOS0878,248,0,55,9,127,127,239,0,0,2,Medium,False
TDS0984,836,0,161,39,3378,3378,174,0,0,2,Medium,False
RAM0447,806,0,178,1,0,0,0,0,0,0,Low,False
EHB0420,991,63,189,3,0,0,0,0,0,1,Low,False
DRR0242,442,0,94,1,0,0,0,0,0,0,Low,False
NGC0058,492,0,101,36,200,200,175,0,0,2,Medium,False
OBH0499,907,27,173,2,594,594,3706,0,0,3,Medium,False
MAD0496,118,0,23,1,0,0,0,0,0,0,Low,False
MCD0125,364,0,72,2,434,434,66,0,0,2,Medium,False
MCF0600,308,7,54,2,102,102,36,1,1,5,High,False
JAJ0849,905,33,184,3,0,0,0,0,0,1,Low,False
PTH0830,425,0,74,1,0,0,0,0,0,0,Low,False
IIL0513,439,0,88,1,0,0,0,0,0,0,Low,False
WIQ0567,798,0,174,1,1955,1955,437,0,0,2,Medium,False
MDH0686,845,0,201,3,0,0,0,0,0,0,Low,False
LDD0560,50,5,10,3,0,0,0,0,0,1,Low,False
BVC0790,960,42,192,3,975,975,879,0,0,3,Medium,False
NMS0280,454,0,89,19,321,321,155,0,0,2,Medium,False
JGT0221,586,244,0,368,1,1,2,1,1,4,High,False
MVH0373,247,113,0,165,0,0,0,0,0,1,Low,False
MOS0047,895,311,0,416,1593,1593,888,1,1,5,High,False
JTM0223,748,241,0,361,1,1,2,1,1,4,High,False
TSM0363,1397,607,0,624,0,0,0,0,0,1,Low,False
QNP0216,1407,597,0,639,0,0,0,0,0,1,Low,False
JRS0362,1388,590,0,636,0,0,0,0,0,1,Low,False
UIR0043,1430,618,0,631,0,0,0,0,0,1,Low,False
CBB0365,1758,603,0,634,0,0,0,0,0,1,Low,False
JAV0361,1384,608,0,625,0,0,0,0,0,1,Low,False
KRV0372,1410,613,0,630,0,0,0,0,0,1,Low,False
LBC0356,1662,593,0,636,0,0,0,0,0,1,Low,False
KCF0045,1390,591,0,640,0,0,0,0,0,1,Low,False
EIS0041,1661,600,0,622,3676,3676,1323,0,0,3,Medium,False
CSC0217,467,195,0,289,1,1,2,1,1,4,High,False
ACC0042,1362,570,0,618,0,0,0,0,0,1,Low,False
MPM0220,1085,409,1,456,6689,6689,2494,1,1,5,High,False
SAK0375,1414,576,0,629,0,0,0,0,0,1,Low,False
GTD0219,490,212,0,306,1281,1281,479,1,1,5,High,False
KSP0357,945,385,0,519,0,0,0,0,0,1,Low,False
MSH0040,1050,453,0,540,0,0,0,0,0,1,Low,False
BAL0044,1709,601,2,628,2900,2900,1130,0,0,3,Medium,False
JLM0364,1314,562,0,598,1,1,2,1,1,4,High,False
DMG0358,1655,586,0,633,0,0,0,0,0,1,Low,False
DFR0218,1357,550,0,614,0,0,0,0,0,1,Low,False
CCA0046,804,331,0,447,1678,1678,758,1,1,5,High,False
HWY0038,449,188,0,285,0,0,0,0,0,1,Low,False
AJF0370,1777,620,77,661,11053,11053,4261,0,0,3,Medium,False
MSO0222,950,405,0,490,1,1,2,1,1,4,High,False
JCC0225,1375,572,0,639,0,0,0,0,0,1,Low,False
AJD0074,750,0,74,2,515,515,150,0,0,2,Medium,False
KBP0008,733,0,0,2,0,0,0,0,0,0,Low,False
KRG0158,346,0,0,1,0,0,0,0,0,0,Low,False
KBB0189,346,0,0,1,0,0,0,0,0,0,Low,False
SRH0155,742,17,27,3,0,0,0,0,0,1,Low,False
EIM0156,346,0,0,1,0,0,0,0,0,0,Low,False
HTH0007,613,0,0,3,0,0,0,0,0,0,Low,False
AVM0947,375,0,0,30,7701,7701,2998,0,0,2,Medium,False
CIM0271,634,0,0,3,1552,1552,725,0,0,2,Medium,False
CJP0952,653,6,1,2,0,0,0,0,0,1,Low,False
DFH0188,702,0,0,3,6281,6281,406,0,0,2,Medium,False
DIW0118,739,0,0,3,1314,1314,683,0,0,2,Medium,False
DJB0159,641,0,0,2,0,0,0,0,0,0,Low,False
HFB0347,264,0,7,1,1716,1716,96,0,0,2,Medium,False
MMG0943,465,0,0,3,0,0,0,0,0,0,Low,False
NMB0972,346,0,0,1,0,0,0,0,0,0,Low,False
POB0343,346,0,0,1,0,0,0,0,0,0,Low,False
RRA0938,608,0,0,1,0,0,0,0,0,0,Low,False
CSJ0340,346,0,0,1,0,0,0,0,0,0,Low,False
PGH0184,406,0,0,1,0,0,0,0,0,0,Low,False
TDG0962,747,0,0,2,0,0,0,0,0,0,Low,False
WBC0192,653,0,0,3,415,415,134,0,0,2,Medium,False
BAK0964,346,0,0,1,0,0,0,0,0,0,Low,False
CAH0936,354,4,0,19,42,42,13,1,1,4,High,False
CKH0144,346,0,0,1,0,0,0,0,0,0,Low,False
ECL0930,617,0,0,1,0,0,0,0,0,0,Low,False
ICS0956,251,0,0,1,0,0,0,0,0,0,Low,False
KSP0966,346,0,0,1,0,0,0,0,0,0,Low,False
RAG0275,346,0,0,1,0,0,0,0,0,0,Low,False
ROB0272,345,0,0,1,0,0,0,0,0,0,Low,False
SGS0268,346,0,0,1,0,0,0,0,0,0,Low,False
DRR0162,256,0,0,1,529,529,559,1,1,4,High,False
GKO0078,744,0,0,3,942,942,363,0,0,2,Medium,False
HXL0968,211,0,0,1,477,477,468,1,1,4,High,False
NIH0969,627,0,0,2,0,0,0,0,0,0,Low,False
RHC0335,346,0,0,1,0,0,0,0,0,0,Low,False
XAA0104,621,0,0,1,437,437,138,0,0,2,Medium,False
SNS0129,346,0,0,1,0,0,0,0,0,0,Low,False
SVL0940,346,0,0,1,0,0,0,0,0,0,Low,False
TNM0961,477,0,0,3,526,526,494,1,1,4,High,False
TVS0050,806,58,7,3,0,0,0,0,0,1,Low,False
AGB0186,346,0,0,1,0,0,0,0,0,0,Low,False
BNR0965,616,0,0,1,0,0,0,0,0,0,Low,False
EHR0096,346,0,0,1,0,0,0,0,0,0,Low,False
HCC0344,346,0,0,1,0,0,0,0,0,0,Low,False
MKL0941,346,0,0,1,0,0,0,0,0,0,Low,False
MSD0939,346,0,0,1,0,0,0,0,0,0,Low,False
BSB0990,346,0,0,1,0,0,0,0,0,0,Low,False
HWM0342,365,0,0,2,0,0,0,0,0,0,Low,False
SJC0333,457,0,0,2,0,0,0,0,0,0,Low,False
SPA0141,688,44,5,1,0,0,0,0,0,1,Low,False
FXF0957,346,0,0,1,0,0,0,0,0,0,Low,False
JIM0095,346,0,0,1,0,0,0,0,0,0,Low,False
KDT0346,622,0,0,1,0,0,0,0,0,0,Low,False
NWT0098,319,0,0,1,702,702,653,1,1,4,High,False
RKF0164,335,0,0,1,0,0,0,0,0,0,Low,False
VEB0935,346,0,0,1,0,0,0,0,0,0,Low,False
AKK0329,346,0,0,1,0,0,0,0,0,0,Low,False
CSL0949,346,0,0,1,0,0,0,0,0,0,Low,False
GCG0951,656,0,0,2,0,0,0,0,0,0,Low,False
GNS0178,676,25,2,2,3049,3049,152,0,0,3,Medium,False
MAE0331,346,0,0,1,0,0,0,0,0,0,Low,False
MKS0204,346,0,0,1,0,0,0,0,0,0,Low,False
OHC0973,346,0,0,1,0,0,0,0,0,0,Low,False
ONL0276,346,0,0,1,0,0,0,0,0,0,Low,False
ORG0339,346,0,0,1,0,0,0,0,0,0,Low,False
GNZ0953,616,0,0,1,0,0,0,0,0,0,Low,False
LHB0967,346,0,0,1,0,0,0,0,0,0,Low,False
LRW0970,346,0,0,1,0,0,0,0,0,0,Low,False
MAR0955,302,4,1,1,69,69,21,1,1,4,High,False
RVF0201,635,0,0,2,252,252,345,0,0,2,Medium,False
CWB0065,731,0,0,2,0,0,0,0,0,0,Low,False
DVW0103,346,0,0,1,0,0,0,0,0,0,Low,False
JMK0099,735,0,0,3,555,555,141,0,0,2,Medium,False
KKS0119,615,0,0,1,0,0,0,0,0,0,Low,False
NCH0179,346,0,0,1,0,0,0,0,0,0,Low,False
PMC0328,621,0,0,1,656,656,670,0,0,2,Medium,False
SBD0913,346,0,0,1,0,0,0,0,0,0,Low,False
SHR0334,346,0,0,1,0,0,0,0,0,0,Low,False
DHM0937,346,0,0,1,0,0,0,0,0,0,Low,False
FPC0954,346,0,0,1,0,0,0,0,0,0,Low,False
OMS0101,346,0,0,1,0,0,0,0,0,0,Low,False
SNC0187,300,0,0,1,2321,2321,126,0,0,2,Medium,False
WAB0143,254,0,0,1,0,0,0,0,0,0,Low,False
ASV0946,610,0,0,1,0,0,0,0,0,0,Low,False
JGM0934,624,0,0,1,0,0,0,0,0,0,Low,False
KAT0270,346,0,0,1,0,0,0,0,0,0,Low,False
OQH0183,346,0,0,1,0,0,0,0,0,0,Low,False
ZJS0269,346,0,0,1,0,0,0,0,0,0,Low,False
AIB0948,741,0,0,34,1669,1669,2990,0,0,2,Medium,False
BLL0929,346,0,0,1,0,0,0,0,0,0,Low,False
CAM0102,346,0,0,1,0,0,0,0,0,0,Low,False
DOL0332,346,0,0,1,0,0,0,0,0,0,Low,False
ELH0960,346,0,0,1,0,0,0,0,0,0,Low,False
ENL0100,346,0,0,1,0,0,0,0,0,0,Low,False
GCC0945,346,0,0,1,0,0,0,0,0,0,Low,False
HLM0933,346,0,0,1,0,0,0,0,0,0,Low,False
ILH0958,737,0,0,27,2970,2970,150,0,0,2,Medium,False
OMM0944,346,0,0,1,0,0,0,0,0,0,Low,False
QNF0205,346,0,0,1,0,0,0,0,0,0,Low,False
WRM0963,324,0,0,3,0,0,0,0,0,0,Low,False
ATF0274,346,0,0,1,0,0,0,0,0,0,Low,False
BWP0202,803,52,7,2,627,627,129,0,0,3,Medium,False
CFG0959,437,0,0,2,0,0,0,0,0,0,Low,False
CGF0337,346,0,0,1,0,0,0,0,0,0,Low,False
FKB0163,346,0,0,1,0,0,0,0,0,0,Low,False
JJM0203,424,0,0,2,425,425,428,1,1,4,High,False
JSH0330,346,0,0,1,0,0,0,0,0,0,Low,False
NCE0097,346,0,0,1,0,0,0,0,0,0,Low,False
RSM0277,740,0,0,3,393,393,393,0,0,2,Medium,False
SSS0345,346,0,0,1,0,0,0,0,0,0,Low,False
AJR0932,199,3,0,1,47,47,19,1,1,4,High,False
BBS0039,663,299,0,385,1,1,2,1,1,4,High,False
CCH0182,346,0,0,1,0,0,0,0,0,0,Low,False
CXC0336,346,0,0,1,0,0,0,0,0,0,Low,False
KRL0062,346,0,0,1,0,0,0,0,0,0,Low,False
NHH0185,355,0,0,10,0,0,0,0,0,0,Low,False
RGG0064,401,2,0,1,12,12,6,1,1,4,High,False
SGM0021,625,0,0,1,2596,2596,1039,0,0,2,Medium,False
SJF0094,346,0,0,1,0,0,0,0,0,0,Low,False
KTG0091,346,0,0,1,0,0,0,0,0,0,Low,False
CFW0264,60,0,0,1,0,0,0,0,0,0,Low,False
NKH0979,722,0,0,3,0,0,0,0,0,0,Low,False
USH0199,349,0,0,4,142,142,112,0,0,2,Medium,False
BTS0011,346,0,0,1,0,0,0,0,0,0,Low,False
LMF0980,616,0,0,1,0,0,0,0,0,0,Low,False
RDM0115,346,0,0,1,0,0,0,0,0,0,Low,False
YDN0198,622,0,0,2,0,0,0,0,0,0,Low,False
EWH0191,613,0,0,1,0,0,0,0,0,0,Low,False
TEM0093,247,0,0,1,0,0,0,0,0,0,Low,False
LDB0090,346,0,0,1,0,0,0,0,0,0,Low,False
BTW0005,466,0,0,2,0,0,0,0,0,0,Low,False
CJK0200,346,0,0,1,0,0,0,0,0,0,Low,False
HCM0267,346,0,0,1,8167,8167,2984,0,0,2,Medium,False
IAT0263,186,0,0,1,0,0,0,0,0,0,Low,False
IIA0092,346,0,0,1,0,0,0,0,0,0,Low,False
AMD0077,346,0,0,1,0,0,0,0,0,0,Low,False
FAW0032,354,0,0,1,0,0,0,0,0,0,Low,False
KNB0022,346,0,0,1,0,0,0,0,0,0,Low,False
RMS0266,346,0,0,1,0,0,0,0,0,0,Low,False
FRB0023,346,0,0,1,0,0,0,0,0,0,Low,False
SER0165,346,0,0,1,0,0,0,0,0,0,Low,False
DVM0265,398,0,0,3,0,0,0,0,0,0,Low,False
MNS0224,1413,624,0,659,0,0,0,0,0,1,Low,False
CTR0697,613,2,0,1,0,0,0,0,0,1,Low,False
DCC0160,346,0,0,1,0,0,0,0,0,0,Low,False
LTS0860,346,0,0,1,0,0,0,0,0,0,Low,False
MAW0166,346,0,0,1,0,0,0,0,0,0,Low,False
MCF0327,346,0,0,1,0,0,0,0,0,0,Low,False
MNC0717,715,0,0,3,0,0,0,0,0,0,Low,False
NAR0981,346,0,0,1,0,0,0,0,0,0,Low,False
NJC0705,346,0,0,1,0,0,0,0,0,0,Low,False
RLB0719,364,14,1,1,0,0,0,0,0,1,Low,False
AKF0709,346,0,0,1,0,0,0,0,0,0,Low,False
AMM0014,346,0,0,1,0,0,0,0,0,0,Low,False
MIL0255,346,0,0,1,0,0,0,0,0,0,Low,False
NAF0033,344,0,0,1,0,0,0,0,0,0,Low,False
SJO0209,753,0,0,3,372,372,133,0,0,2,Medium,False
ABH0663,346,0,0,1,0,0,0,0,0,0,Low,False
AMV0036,346,0,0,1,0,0,0,0,0,0,Low,False
BBG0325,643,0,0,2,349,349,368,0,0,2,Medium,False
DBG0261,346,0,0,1,0,0,0,0,0,0,Low,False
IMG0320,346,0,0,1,0,0,0,0,0,0,Low,False
KBL0260,346,0,0,1,0,0,0,0,0,0,Low,False
KVT0028,346,0,0,1,0,0,0,0,0,0,Low,False
NBH0256,346,0,0,1,0,0,0,0,0,0,Low,False
PES0085,614,0,0,1,0,0,0,0,0,0,Low,False
RNP0211,625,0,0,1,2638,2638,1073,0,0,2,Medium,False
WBC0315,346,0,0,1,0,0,0,0,0,0,Low,False
CLH0703,346,0,0,1,0,0,0,0,0,0,Low,False
HDD0789,346,0,0,1,0,0,0,0,0,0,Low,False
KCS0173,685,0,0,3,260,260,360,0,0,2,Medium,False
NSS0876,346,0,0,1,0,0,0,0,0,0,Low,False
PDW0259,653,0,0,40,0,0,0,0,0,0,Low,False
RAR0725,171,0,0,1,355,355,348,1,1,4,High,False
RJB0088,346,0,0,1,0,0,0,0,0,0,Low,False
RLG0856,651,20,2,1,334,334,371,0,0,3,Medium,False
WXH0872,475,15,0,3,826,826,702,0,0,3,Medium,False
YCE0983,346,0,0,1,0,0,0,0,0,0,Low,False
ABC0253,617,0,0,1,0,0,0,0,0,0,Low,False
AIP0982,636,0,0,2,6182,6182,366,0,0,2,Medium,False
CLF0852,737,0,0,3,0,0,0,0,0,0,Low,False
JJB0700,371,0,0,2,0,0,0,0,0,0,Low,False
SDO0170,607,0,0,1,0,0,0,0,0,0,Low,False
WAS0254,617,0,0,1,0,0,0,0,0,0,Low,False
AJP0723,346,0,0,1,0,0,0,0,0,0,Low,False
DPS0262,127,9,2,1,0,0,0,0,0,1,Low,False
LNS0989,702,0,0,2,0,0,0,0,0,0,Low,False
LOF0311,346,0,0,1,0,0,0,0,0,0,Low,False
MKP0861,620,0,0,1,0,0,0,0,0,0,Low,False
RTO0313,722,43,5,2,0,0,0,0,0,1,Low,False
UFK0208,704,0,0,2,0,0,0,0,0,0,Low,False
ZJE0857,393,0,17,2,0,0,0,0,0,0,Low,False
CCM0855,346,0,0,1,0,0,0,0,0,0,Low,False
IDO0176,346,0,0,1,0,0,0,0,0,0,Low,False
JCG0316,734,0,0,2,2161,2161,697,0,0,2,Medium,False
RYB0718,346,0,0,1,0,0,0,0,0,0,Low,False
YJV0699,346,0,0,1,0,0,0,0,0,0,Low,False
DLH0029,346,0,0,1,0,0,0,0,0,0,Low,False
KQC0708,346,0,0,1,0,0,0,0,0,0,Low,False
XLB0710,346,0,0,1,0,0,0,0,0,0,Low,False
AAL0706,346,0,0,1,0,0,0,0,0,0,Low,False
BAH0875,465,60,5,3,0,0,0,0,0,1,Low,False
CCW0031,346,0,0,1,0,0,0,0,0,0,Low,False
FGW0853,455,50,5,4,0,0,0,0,0,1,Low,False
FQA0854,351,0,0,6,0,0,0,0,0,0,Low,False
FWM0707,374,0,0,3,0,0,0,0,0,0,Low,False
IBB0696,637,0,0,3,986,986,708,0,0,2,Medium,False
JOL0024,346,0,0,1,0,0,0,0,0,0,Low,False
JRG0207,287,1,0,1,27,27,23,1,1,4,High,False
MBR0724,346,0,0,1,0,0,0,0,0,0,Low,False
MCT0720,346,0,0,1,0,0,0,0,0,0,Low,False
PEV0323,686,31,6,3,0,0,0,0,0,1,Low,False
SAP0867,146,0,0,1,0,0,0,0,0,0,Low,False
BMS0877,126,0,0,1,0,0,0,0,0,0,Low,False
JDB0169,620,0,0,1,7791,7791,2743,0,0,2,Medium,False
WDO0870,438,60,3,21,0,0,0,0,0,1,Low,False
WKF0012,346,0,0,1,0,0,0,0,0,0,Low,False
BER0314,346,0,0,1,0,0,0,0,0,0,Low,False
CCR0863,346,0,0,1,0,0,0,0,0,0,Low,False
HKI0171,345,0,0,1,0,0,0,0,0,0,Low,False
HPM0986,346,0,0,1,0,0,0,0,0,0,Low,False
KKW0879,451,17,37,2,1534,1534,3257,0,0,3,Medium,False
LHL0309,346,0,0,1,0,0,0,0,0,0,Low,False
MKG0711,346,0,0,1,0,0,0,0,0,0,Low,False
OCS0865,636,0,0,2,873,873,659,0,0,2,Medium,False
PDH0716,651,0,0,3,1723,1723,677,0,0,2,Medium,False
ASS0206,346,0,0,1,0,0,0,0,0,0,Low,False
DMK0257,715,62,6,2,1499,1499,689,0,0,3,Medium,False
EDB0714,242,0,0,1,526,526,535,1,1,4,High,False
JCW0858,346,0,0,1,0,0,0,0,0,0,Low,False
PLH0862,346,0,0,1,0,0,0,0,0,0,Low,False
CEB0210,346,0,0,1,0,0,0,0,0,0,Low,False
COM0321,346,0,0,1,0,0,0,0,0,0,Low,False
HMW0713,346,0,0,1,0,0,0,0,0,0,Low,False
JMB0308,157,3,0,1,10,10,8,1,1,4,High,False
KBS0874,616,0,0,1,0,0,0,0,0,0,Low,False
MCS0035,346,0,0,1,0,0,0,0,0,0,Low,False
MIM0712,346,0,0,1,0,0,0,0,0,0,Low,False
PLH0715,346,0,0,1,0,0,0,0,0,0,Low,False
AMR0318,641,14,2,1,230,230,141,0,0,3,Medium,False
ARL0034,346,0,0,1,0,0,0,0,0,0,Low,False
CJH0702,346,0,0,1,0,0,0,0,0,0,Low,False
DIC0988,346,0,0,1,0,0,0,0,0,0,Low,False
EMS0317,346,0,0,1,0,0,0,0,0,0,Low,False
GRM0868,346,0,0,1,0,0,0,0,0,0,Low,False
MAS0025,206,5,0,1,55,55,16,1,1,4,High,False
MCJ0324,346,0,0,1,0,0,0,0,0,0,Low,False
MSZ0310,346,0,0,1,0,0,0,0,0,0,Low,False
AJH0175,405,36,0,1,236,236,159,0,0,3,Medium,False
AKW0167,346,0,0,1,0,0,0,0,0,0,Low,False
BDV0168,170,3,0,1,36,36,16,1,1,4,High,False
BTL0722,346,0,0,1,0,0,0,0,0,0,Low,False
CKP0721,346,0,0,1,0,0,0,0,0,0,Low,False
CPG0322,503,0,0,35,337,337,129,0,0,2,Medium,False
HAM0985,346,0,0,1,0,0,0,0,0,0,Low,False
LOM0086,255,0,0,2,438,438,286,0,1,4,High,False
SBN0866,372,18,1,1,5864,5864,377,0,0,3,Medium,False
THR0873,370,9,1,2,8525,8525,2742,0,0,3,Medium,False
ASL0378,620,0,0,1,0,0,0,0,0,0,Low,False
CQH0701,617,0,0,1,243,243,137,0,0,2,Medium,False
DTT0076,346,0,0,1,0,0,0,0,0,0,Low,False
FLM0213,345,0,0,1,0,0,0,0,0,0,Low,False
GDF0704,643,0,0,3,0,0,0,0,0,0,Low,False
GHL0460,232,2,0,1,41,41,11,1,1,4,High,False
HJB0742,446,4,0,2,5,5,6,1,1,4,High,False
IJW0851,346,0,0,1,0,0,0,0,0,0,Low,False
IKR0401,287,0,0,1,554,554,569,1,1,4,High,False
JAD0609,438,0,0,3,0,0,0,0,0,0,Low,False
KJS0618,346,0,0,1,0,0,0,0,0,0,Low,False
LFS0071,346,0,0,1,0,0,0,0,0,0,Low,False
MAH0864,346,0,0,1,0,0,0,0,0,0,Low,False
MBJ0312,642,0,0,3,1019,1019,1029,0,0,2,Medium,False
RSC0089,815,41,37,27,865,865,2896,0,0,3,Medium,False
RUM0880,660,24,4,2,2199,2199,701,0,0,3,Medium,False
SVS0871,738,0,0,3,0,0,0,0,0,0,Low,False
TQS0212,352,0,0,7,0,0,0,0,0,0,Low,False
VAA0087,691,0,0,3,0,0,0,0,0,0,Low,False
XBN0229,346,0,0,1,0,0,0,0,0,0,Low,False
ZDW0859,628,0,0,18,0,0,0,0,0,0,Low,False
ZSK0258,346,0,0,1,0,0,0,0,0,0,Low,False
AAS0442,86,0,0,1,0,0,0,0,0,0,Low,False
BEH0615,690,0,2,22,268,268,394,0,0,2,Medium,False
CRP0456,346,0,0,1,0,0,0,0,0,0,Low,False
FTM0406,249,2,0,1,33,33,18,1,1,4,High,False
HIW0536,346,0,0,1,0,0,0,0,0,0,Low,False
JAM0382,346,0,0,1,0,0,0,0,0,0,Low,False
JRH0455,55,0,0,1,0,0,0,0,0,0,Low,False
KJW0416,346,0,0,1,0,0,0,0,0,0,Low,False
MBG0438,235,0,0,1,0,0,0,0,0,0,Low,False
MDM0976,346,0,0,1,0,0,0,0,0,0,Low,False
MES0407,346,0,0,1,0,0,0,0,0,0,Low,False
MHG0244,346,0,0,1,0,0,0,0,0,0,Low,False
QPM0727,346,0,0,1,0,0,0,0,0,0,Low,False
RCC0617,346,0,0,1,0,0,0,0,0,0,Low,False
UCS0227,346,0,0,1,0,0,0,0,0,0,Low,False
VIA0063,346,0,0,1,8524,8524,2751,0,0,2,Medium,False
AIM0627,346,0,0,1,0,0,0,0,0,0,Low,False
AIS0405,346,0,0,1,0,0,0,0,0,0,Low,False
BAM0611,611,0,0,1,0,0,0,0,0,0,Low,False
BBS0422,498,55,69,3,499,499,154,0,0,3,Medium,False
CKD0680,346,0,0,1,0,0,0,0,0,0,Low,False
EGD0409,248,0,0,1,0,0,0,0,0,0,Low,False
FSC0601,324,0,0,2,653,653,634,1,1,4,High,False
GJT0386,346,0,0,1,0,0,0,0,0,0,Low,False
GLR0975,611,0,0,1,0,0,0,0,0,0,Low,False
GOK0238,241,0,0,1,0,0,0,0,0,0,Low,False
GZB0469,346,0,0,1,0,0,0,0,0,0,Low,False
HCW0419,619,0,0,1,0,0,0,0,0,0,Low,False
HKR0628,709,0,0,3,0,0,0,0,0,0,Low,False
KMW0545,621,0,0,1,493,493,129,0,0,2,Medium,False
KQS0415,346,0,0,1,0,0,0,0,0,0,Low,False
RAH0440,346,0,0,1,0,0,0,0,0,0,Low,False
RDT0424,690,0,0,3,464,464,359,0,0,2,Medium,False
RGH0728,281,0,0,1,0,0,0,0,0,0,Low,False
AJL0462,652,28,2,1,0,0,0,0,0,1,Low,False
BDB0453,400,41,0,1,0,0,0,0,0,1,Low,False
BHW0458,346,0,0,1,0,0,0,0,0,0,Low,False
BTL0226,406,5,0,20,4,4,8,1,1,4,High,False
BYP0070,238,0,0,1,0,0,0,0,0,0,Low,False
CBG0398,346,0,0,1,0,0,0,0,0,0,Low,False
CCC0393,346,0,0,1,0,0,0,0,0,0,Low,False
CRD0624,50,5,0,1,0,0,0,0,0,1,Low,False
EBC0390,346,0,0,1,0,0,0,0,0,0,Low,False
GQP0743,346,0,0,1,0,0,0,0,0,0,Low,False
IJM0444,740,9,1,3,1840,1840,373,0,0,3,Medium,False
JPA0667,346,0,0,1,0,0,0,0,0,0,Low,False
LIM0674,738,12,20,2,185,185,133,0,0,3,Medium,False
MKW0441,649,7,1,8,421,421,700,0,0,3,Medium,False
NUL0471,612,0,0,1,0,0,0,0,0,0,Low,False
QRM0739,365,0,0,3,8401,8401,2989,0,0,2,Medium,False
SEJ0677,176,0,0,1,0,0,0,0,0,0,Low,False
UJC0737,346,0,0,1,0,0,0,0,0,0,Low,False
AAV0450,346,0,0,1,0,0,0,0,0,0,Low,False
ABN0239,613,0,0,1,0,0,0,0,0,0,Low,False
ALH0402,346,0,0,1,0,0,0,0,0,0,Low,False
AMR0400,346,0,0,1,0,0,0,0,0,0,Low,False
